# Constructed from biom file
#OTU ID	A1JSBP1	A1SWBP1	A2SSBP2	A3JMBP4	T14MYBP2	T14OMBP2	T15SBBP4	T15WSBP4	T18JJBP5	T16RMBP5	taxonomy
821495	149.0	10858.0	4590.0	125053.0	1253.0	4643.0	101802.0	54640.0	125.0	9.0	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales
4402734	0.0	248.0	38.0	486.0	15.0	235.0	366.0	0.0	73348.0	20106.0	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Chloroplast; f__Chloroplast; g__Chloroplast
550329	3329.0	26844.0	8.0	6701.0	400.0	3730.0	1085.0	9620.0	47.0	0.0	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Chloroplast; f__Chloroplast; g__Chloroplast
4327233	0.0	2.0	0.0	0.0	17353.0	2.0	0.0	0.0	1.0	2.0	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Micrococcales; f__Microbacteriaceae
254922	0.0	967.0	42.0	3917.0	0.0	570.0	5266.0	4179.0	353.0	906.0	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Acetobacterales; f__Acetobacteraceae; g__Acidocella; s__uncultured_eubacterium
173906	0.0	20.0	0.0	0.0	2484.0	9.0	8.0	0.0	7.0	6.0	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Micrococcales; f__Microbacteriaceae
4203120	0.0	85.0	3.0	696.0	0.0	972.0	1325.0	0.0	5926.0	11350.0	d__Bacteria; p__Actinobacteriota; c__Acidimicrobiia; o__uncultured; f__uncultured; g__uncultured; s__uncultured_Banisveld
1140775	0.0	227.0	194.0	116.0	0.0	1218.0	143.0	0.0	1676.0	6604.0	d__Bacteria; p__Actinobacteriota; c__Acidimicrobiia; o__uncultured; f__uncultured; g__uncultured; s__uncultured_Acidimicrobiaceae
150673	749.0	23.0	142.0	3.0	2533.0	46.0	12.0	0.0	6.0	1.0	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingomonas
683891	0.0	170.0	331.0	57.0	0.0	1189.0	3503.0	0.0	0.0	3.0	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Pseudorhodobacter; s__mine_drainage
3538	2133.0	1965.0	66.0	94.0	1008.0	495.0	128.0	0.0	8.0	0.0	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Chloroplast; f__Chloroplast; g__Chloroplast
151650	0.0	22.0	0.0	12.0	0.0	278.0	23.0	824.0	0.0	5.0	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Acetobacterales; f__Acetobacteraceae; g__Acidisphaera; s__uncultured_soil
219317	0.0	1.0	0.0	23.0	0.0	48.0	31.0	0.0	810.0	4583.0	d__Bacteria; p__Actinobacteriota; c__Acidimicrobiia; o__uncultured; f__uncultured; g__uncultured; s__uncultured_Acidimicrobiaceae
169182	0.0	0.0	0.0	0.0	1908.0	18.0	1389.0	317.0	0.0	0.0	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales
1024743	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2526.0	1.0	0.0	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingomonas
283765	388.0	0.0	0.0	6.0	4019.0	38.0	0.0	4069.0	0.0	0.0	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Micrococcales; f__Micrococcaceae; g__Kocuria
13505	0.0	56.0	0.0	118.0	0.0	858.0	344.0	2163.0	1417.0	3334.0	d__Bacteria; p__Actinobacteriota; c__Acidimicrobiia; o__uncultured; f__uncultured; g__uncultured; s__uncultured_Banisveld
815911	0.0	8.0	0.0	3.0	0.0	118.0	11.0	361.0	30.0	47.0	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Acetobacterales; f__Acetobacteraceae; g__Acidisphaera; s__uncultured_soil
1113279	0.0	1.0	0.0	139.0	0.0	16.0	109.0	0.0	3443.0	1691.0	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Acetobacterales; f__Acetobacteraceae; g__Acidiphilium; s__uncultured_Acidiphilium
647790	0.0	703.0	18.0	84.0	0.0	821.0	228.0	0.0	712.0	2840.0	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Beijerinckiaceae; g__Roseiarcus
872014	0.0	742.0	0.0	49.0	689.0	1378.0	53.0	0.0	2.0	0.0	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales
1047041	0.0	0.0	0.0	12.0	4871.0	53.0	0.0	0.0	6.0	0.0	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Corynebacteriales; f__Corynebacteriaceae; g__Lawsonella
4453684	0.0	57.0	32.0	65.0	0.0	818.0	54.0	0.0	929.0	2210.0	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__WD260; f__WD260; g__WD260; s__uncultured_eubacterium
172410	1599.0	158.0	42.0	67.0	384.0	758.0	85.0	0.0	12.0	22.0	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Rhodanobacteraceae; g__Rhodanobacter
295053	0.0	0.0	0.0	0.0	873.0	5.0	602.0	216.0	0.0	0.0	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales
1133744	2029.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	d__Bacteria; p__Patescibacteria; c__ABY1; o__Candidatus_Falkowbacteria; f__Candidatus_Falkowbacteria; g__Candidatus_Falkowbacteria; s__Parcubacteria_group
813418	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1009.0	1.0	0.0	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Croceicoccus
